srx,virus,count
SRX17674433,Adeno-associated virus AAV,0
SRX17674434,Adeno-associated virus AAV,0
SRX17674435,Adeno-associated virus AAV,0
SRX17674436,Adeno-associated virus AAV,0
SRX17674437,Adeno-associated virus AAV,0
SRX17674438,Adeno-associated virus AAV,0
SRX17674439,Adeno-associated virus AAV,0
SRX17674440,Adeno-associated virus AAV,0
SRX17674441,Adeno-associated virus AAV,0
SRX17674442,Adeno-associated virus AAV,0
SRX17674443,Adeno-associated virus AAV,0
SRX17674444,Adeno-associated virus AAV,0
SRX17674445,Adeno-associated virus AAV,0
SRX17674446,Adeno-associated virus AAV,0
SRX17674447,Adeno-associated virus AAV,0
SRX17674448,Adeno-associated virus AAV,0
SRX17674449,Adeno-associated virus AAV,0
SRX17674450,Adeno-associated virus AAV,0
SRX17674451,Adeno-associated virus AAV,0
SRX17674452,Adeno-associated virus AAV,0
SRX17674453,Adeno-associated virus AAV,0
SRX17674454,Adeno-associated virus AAV,0
SRX17674455,Adeno-associated virus AAV,0
SRX17674456,Adeno-associated virus AAV,0
SRX17674457,Adeno-associated virus AAV,0
SRX17674458,Adeno-associated virus AAV,0
SRX17674459,Adeno-associated virus AAV,0
SRX17674460,Adeno-associated virus AAV,0
SRX17674461,Adeno-associated virus AAV,0
SRX17674462,Adeno-associated virus AAV,0
SRX17674463,Adeno-associated virus AAV,0
SRX17674464,Adeno-associated virus AAV,0
SRX17674465,Adeno-associated virus AAV,0
SRX17674466,Adeno-associated virus AAV,0
SRX17674467,Adeno-associated virus AAV,0
SRX17674433,Adenovirus A,0
SRX17674434,Adenovirus A,0
SRX17674435,Adenovirus A,0
SRX17674436,Adenovirus A,0
SRX17674437,Adenovirus A,0
SRX17674438,Adenovirus A,0
SRX17674439,Adenovirus A,0
SRX17674440,Adenovirus A,0
SRX17674441,Adenovirus A,0
SRX17674442,Adenovirus A,0
SRX17674443,Adenovirus A,0
SRX17674444,Adenovirus A,0
SRX17674445,Adenovirus A,0
SRX17674446,Adenovirus A,0
SRX17674447,Adenovirus A,0
SRX17674448,Adenovirus A,0
SRX17674449,Adenovirus A,0
SRX17674450,Adenovirus A,0
SRX17674451,Adenovirus A,0
SRX17674452,Adenovirus A,0
SRX17674453,Adenovirus A,0
SRX17674454,Adenovirus A,0
SRX17674455,Adenovirus A,0
SRX17674456,Adenovirus A,0
SRX17674457,Adenovirus A,0
SRX17674458,Adenovirus A,0
SRX17674459,Adenovirus A,0
SRX17674460,Adenovirus A,0
SRX17674461,Adenovirus A,0
SRX17674462,Adenovirus A,0
SRX17674463,Adenovirus A,0
SRX17674464,Adenovirus A,0
SRX17674465,Adenovirus A,0
SRX17674466,Adenovirus A,0
SRX17674467,Adenovirus A,0
SRX17674433,Adenovirus 54,0
SRX17674434,Adenovirus 54,0
SRX17674435,Adenovirus 54,0
SRX17674436,Adenovirus 54,0
SRX17674437,Adenovirus 54,0
SRX17674438,Adenovirus 54,0
SRX17674439,Adenovirus 54,0
SRX17674440,Adenovirus 54,0
SRX17674441,Adenovirus 54,0
SRX17674442,Adenovirus 54,0
SRX17674443,Adenovirus 54,0
SRX17674444,Adenovirus 54,0
SRX17674445,Adenovirus 54,0
SRX17674446,Adenovirus 54,0
SRX17674447,Adenovirus 54,0
SRX17674448,Adenovirus 54,0
SRX17674449,Adenovirus 54,0
SRX17674450,Adenovirus 54,0
SRX17674451,Adenovirus 54,0
SRX17674452,Adenovirus 54,0
SRX17674453,Adenovirus 54,0
SRX17674454,Adenovirus 54,0
SRX17674455,Adenovirus 54,0
SRX17674456,Adenovirus 54,0
SRX17674457,Adenovirus 54,0
SRX17674458,Adenovirus 54,0
SRX17674459,Adenovirus 54,0
SRX17674460,Adenovirus 54,0
SRX17674461,Adenovirus 54,0
SRX17674462,Adenovirus 54,0
SRX17674463,Adenovirus 54,0
SRX17674464,Adenovirus 54,0
SRX17674465,Adenovirus 54,0
SRX17674466,Adenovirus 54,0
SRX17674467,Adenovirus 54,0
SRX17674433,Adenovirus C,4
SRX17674434,Adenovirus C,7
SRX17674435,Adenovirus C,0
SRX17674436,Adenovirus C,12
SRX17674437,Adenovirus C,12
SRX17674438,Adenovirus C,6
SRX17674439,Adenovirus C,8
SRX17674440,Adenovirus C,8
SRX17674441,Adenovirus C,6
SRX17674442,Adenovirus C,22
SRX17674443,Adenovirus C,4
SRX17674444,Adenovirus C,14
SRX17674445,Adenovirus C,8
SRX17674446,Adenovirus C,10
SRX17674447,Adenovirus C,16
SRX17674448,Adenovirus C,43
SRX17674449,Adenovirus C,0
SRX17674450,Adenovirus C,10
SRX17674451,Adenovirus C,8
SRX17674452,Adenovirus C,0
SRX17674453,Adenovirus C,4
SRX17674454,Adenovirus C,7
SRX17674455,Adenovirus C,8
SRX17674456,Adenovirus C,4
SRX17674457,Adenovirus C,4
SRX17674458,Adenovirus C,6
SRX17674459,Adenovirus C,22
SRX17674460,Adenovirus C,4
SRX17674461,Adenovirus C,14
SRX17674462,Adenovirus C,3
SRX17674463,Adenovirus C,4
SRX17674464,Adenovirus C,12
SRX17674465,Adenovirus C,0
SRX17674466,Adenovirus C,0
SRX17674467,Adenovirus C,12
SRX17674433,COV_229E,0
SRX17674434,COV_229E,0
SRX17674435,COV_229E,0
SRX17674436,COV_229E,0
SRX17674437,COV_229E,0
SRX17674438,COV_229E,0
SRX17674439,COV_229E,0
SRX17674440,COV_229E,0
SRX17674441,COV_229E,0
SRX17674442,COV_229E,0
SRX17674443,COV_229E,0
SRX17674444,COV_229E,0
SRX17674445,COV_229E,0
SRX17674446,COV_229E,0
SRX17674447,COV_229E,0
SRX17674448,COV_229E,0
SRX17674449,COV_229E,0
SRX17674450,COV_229E,0
SRX17674451,COV_229E,0
SRX17674452,COV_229E,0
SRX17674453,COV_229E,0
SRX17674454,COV_229E,0
SRX17674455,COV_229E,0
SRX17674456,COV_229E,0
SRX17674457,COV_229E,0
SRX17674458,COV_229E,0
SRX17674459,COV_229E,0
SRX17674460,COV_229E,0
SRX17674461,COV_229E,0
SRX17674462,COV_229E,0
